Accession	Mann P	Student P	log2FC	c_median	a_median	a1	a2	a3	c1	c2	c3
A0A804HJA0|A0A804HJA0_HUMAN	0.19043026382552397	0.11365487461646424	-0.25732536603594625	13.23531809709669	12.977992731060743	13.191258589477899	12.977992731060743	12.735240553247923	13.23531809709669	13.180733895421119	13.327183502699999
Q7Z3T8|ZFY16_HUMAN	1.0	0.9972638163055214	-0.18298233741919567	12.171668284419008	11.988685946999812	11.38494910562431	12.839027712645414	11.988685946999812	12.171668284419008	11.652892375060294	12.382911442772594
Q9UEW8|STK39_HUMAN	1.0	0.6171017296211017	-0.32982038032666416	12.461542499867079	12.131722119540415	12.131722119540415	12.027286828016896	14.232599716441118	12.461542499867079	12.659465985877956	12.071015054405096
A0A804HJG7|A0A804HJG7_HUMAN	0.6625205835400574	0.3785385485374743	-0.17080596407821425	12.698071645289284	12.52726568121107	12.703008119767226	12.52726568121107	12.28296995685946	12.934893800385343	12.438508664702537	12.698071645289284
Q86Y79|PTH_HUMAN	0.38273308888522595	0.39011963353461043	-0.21218371478914833	10.716930466570767	10.504746751781619	10.057257805235745	10.504746751781619	10.644752816565992	10.716930466570767	10.314528129665312	10.8813197174579
G8JLH6|G8JLH6_HUMAN	1.0	0.4983511991335434	0.022576117560191733	17.383022806391082	17.405598923951274	17.405598923951274	17.48488754603901	16.18020084480701	17.18952229310567	17.45703468949218	17.383022806391082
P98196|AT11A_HUMAN	1.0	0.38773394168962655	-0.08179672506781976	10.794270289776227	10.712473564708407	11.602741681344753	10.63639560171568	10.712473564708407	10.794270289776227	11.022171683340341	9.446187319702043
Q9NVP1|DDX18_HUMAN	0.6625205835400574	0.32848117490464307	-0.3440819966658868	12.61628000191599	12.272198005250104	12.264241855185578	12.646158144677736	12.272198005250104	12.415776039811337	12.630193770993746	12.61628000191599
G3V3U5|G3V3U5_HUMAN	0.08085559837005224	0.20115837910985496	-0.20349622138531132	11.906435924751802	11.702939703366491	11.708080148400212	11.702939703366491	10.814523026607416	11.906435924751802	11.990096870944091	11.733946415588996
P50453|SPB9_HUMAN	0.6625205835400574	0.48734616316371043	0.08651817816592455	14.808809462912507	14.895327641078431	14.895327641078431	15.397271358565986	14.749458034146977	15.088435615497936	14.584440033820622	14.808809462912507
Q5F1R6|DJC21_HUMAN	1.0	0.7315063330542955	-0.08345288378120586	10.724444104120481	10.640991220339275	10.640991220339275	10.630357324780208	11.13319057977173	10.571817098872346	10.724444104120481	10.897711274590188
